"name";"category";"order_id";"cost";"price_unit";"amount";"discount";"total_price"
Suporte para Monitor;Móveis;282;40.00;90.00;1;0.00;90.00
Mouse Gamer 10000 DPI;Periféricos;283;50.00;100.00;1;11.19;88.81
Headset Gamer;Áudio;283;95.00;199.90;1;11.80;188.10
Headset Gamer;Áudio;284;95.00;199.90;1;0.00;199.90
Mousepad Extra Large;Acessórios;285;25.00;60.00;1;0.00;60.00
Hub USB 3.0;Acessórios;286;35.00;79.90;1;0.00;79.90
Headset Wireless;Áudio;287;150.00;220.00;1;0.00;220.00
Mousepad Extra Large;Acessórios;288;25.00;60.00;1;18.00;42.00
Mousepad Extra Large;Acessórios;289;25.00;60.00;1;5.43;54.57
Cadeira Ergonômica;Móveis;290;500.00;850.00;3;0.00;2550.00
Webcam Full HD;Periféricos;290;85.00;179.90;2;0.00;359.80
Mouse Gamer 10000 DPI;Periféricos;291;50.00;100.00;1;29.44;70.56
Headset Wireless;Áudio;292;150.00;220.00;1;0.00;220.00
Headset Wireless;Áudio;293;150.00;220.00;1;0.00;220.00
"Monitor 24"" Full HD";Monitores;294;400.00;650.00;1;0.00;650.00
Hub USB 3.0;Acessórios;294;35.00;79.90;3;24.67;215.03
Webcam Full HD;Periféricos;295;85.00;179.90;3;33.54;506.16
Mousepad Extra Large;Acessórios;295;25.00;60.00;2;0.00;120.00
Headset Gamer;Áudio;296;95.00;199.90;1;0.00;199.90
Mouse Gamer 10000 DPI;Periféricos;297;50.00;100.00;1;0.00;100.00
Webcam 1080p;Acessórios;297;90.00;150.00;1;0.00;150.00
Webcam 1080p;Acessórios;298;90.00;150.00;1;0.00;150.00
Teclado Mecânico;Periféricos;299;120.00;249.90;1;0.00;249.90
Webcam Full HD;Periféricos;300;85.00;179.90;2;0.00;359.80
Hub USB 3.0;Acessórios;301;35.00;79.90;2;0.00;159.80
Teclado Mecânico;Periféricos;301;120.00;249.90;1;22.13;227.77
Mouse Gamer 10000 DPI;Periféricos;302;50.00;100.00;1;18.49;81.51
Hub USB 3.0;Acessórios;303;35.00;79.90;1;9.81;70.09
Headset Gamer;Áudio;303;95.00;199.90;1;0.00;199.90
Suporte para Monitor;Móveis;303;40.00;90.00;1;0.00;90.00
Headset Gamer;Áudio;304;95.00;199.90;3;19.43;580.27
Mousepad Extra Large;Acessórios;305;25.00;60.00;3;36.27;143.73
Cadeira Gamer;Móveis;306;450.00;899.90;1;30.37;869.53
Teclado Mecânico RGB;Periféricos;307;120.00;180.00;1;0.00;180.00
Hub USB 3.0;Acessórios;307;35.00;79.90;1;23.97;55.93
Headset Wireless;Áudio;308;150.00;220.00;1;0.00;220.00
Webcam 1080p;Acessórios;308;90.00;150.00;2;49.58;250.42
Hub USB 3.0;Acessórios;309;35.00;79.90;1;23.97;55.93
Headset Wireless;Áudio;310;150.00;220.00;1;0.00;220.00
Headset Gamer;Áudio;311;95.00;199.90;3;40.83;558.87
Cadeira Gamer;Móveis;311;450.00;899.90;1;14.99;884.91
Mousepad Extra Large;Acessórios;311;25.00;60.00;1;0.00;60.00
Suporte para Monitor;Móveis;312;40.00;90.00;2;0.00;180.00
Webcam 1080p;Acessórios;313;90.00;150.00;1;0.00;150.00
Cadeira Gamer;Móveis;314;450.00;899.90;1;0.00;899.90
Cadeira Ergonômica;Móveis;315;500.00;850.00;1;0.00;850.00
Mouse Gamer 10000 DPI;Periféricos;315;50.00;100.00;1;0.00;100.00
"Monitor 24"" Full HD";Monitores;316;400.00;650.00;1;24.19;625.81
Headset Gamer;Áudio;317;95.00;199.90;1;0.00;199.90
Mousepad Extra Large;Acessórios;318;25.00;60.00;1;17.53;42.47
Teclado Mecânico;Periféricos;319;120.00;249.90;1;10.13;239.77
"Monitor 24"" Full HD";Monitores;319;400.00;650.00;1;0.00;650.00
Cadeira Ergonômica;Móveis;320;500.00;850.00;1;0.00;850.00
Cadeira Ergonômica;Móveis;321;500.00;850.00;1;21.80;828.20
Mouse Gamer 10000 DPI;Periféricos;321;50.00;100.00;1;0.00;100.00
Suporte para Monitor;Móveis;322;40.00;90.00;1;0.00;90.00
"Monitor 24"" Full HD";Monitores;323;400.00;650.00;1;0.00;650.00
Headset Wireless;Áudio;324;150.00;220.00;2;0.00;440.00
Hub USB 3.0;Acessórios;325;35.00;79.90;2;0.00;159.80
Webcam 1080p;Acessórios;326;90.00;150.00;1;40.13;109.87
Mouse Gamer 10000 DPI;Periféricos;327;50.00;100.00;1;0.00;100.00
Headset Wireless;Áudio;328;150.00;220.00;3;42.35;617.65
Cadeira Ergonômica;Móveis;329;500.00;850.00;2;43.94;1656.06
Cadeira Ergonômica;Móveis;330;500.00;850.00;2;0.00;1700.00
Cadeira Gamer;Móveis;331;450.00;899.90;1;0.00;899.90
Teclado Mecânico RGB;Periféricos;331;120.00;180.00;1;49.06;130.94
Teclado Mecânico;Periféricos;332;120.00;249.90;1;0.00;249.90
Headset Gamer;Áudio;332;95.00;199.90;1;17.48;182.42
Mouse Gamer 10000 DPI;Periféricos;332;50.00;100.00;1;0.00;100.00
Headset Wireless;Áudio;333;150.00;220.00;2;0.00;440.00
Mousepad Extra Large;Acessórios;334;25.00;60.00;1;18.00;42.00
Hub USB 3.0;Acessórios;335;35.00;79.90;1;0.00;79.90
Cadeira Ergonômica;Móveis;335;500.00;850.00;1;0.00;850.00
Cadeira Ergonômica;Móveis;336;500.00;850.00;2;0.00;1700.00
Mouse Gamer 10000 DPI;Periféricos;336;50.00;100.00;3;0.00;300.00
Webcam Full HD;Periféricos;337;85.00;179.90;1;0.00;179.90
Cadeira Gamer;Móveis;338;450.00;899.90;2;46.82;1752.98
Mousepad Extra Large;Acessórios;339;25.00;60.00;2;36.00;84.00
Headset Wireless;Áudio;339;150.00;220.00;2;21.22;418.78
"Monitor 24"" Full HD";Monitores;339;400.00;650.00;1;0.00;650.00
Hub USB 3.0;Acessórios;340;35.00;79.90;2;0.00;159.80
Cadeira Gamer;Móveis;340;450.00;899.90;1;14.60;885.30
Teclado Mecânico RGB;Periféricos;341;120.00;180.00;1;0.00;180.00
Mousepad Extra Large;Acessórios;342;25.00;60.00;1;0.00;60.00
Cadeira Gamer;Móveis;343;450.00;899.90;2;0.00;1799.80
Webcam Full HD;Periféricos;344;85.00;179.90;1;0.00;179.90
Suporte para Monitor;Móveis;345;40.00;90.00;1;27.00;63.00
Headset Wireless;Áudio;345;150.00;220.00;1;0.00;220.00
Mouse Gamer 10000 DPI;Periféricos;346;50.00;100.00;1;0.00;100.00
Headset Gamer;Áudio;347;95.00;199.90;2;32.31;367.49
Cadeira Gamer;Móveis;348;450.00;899.90;3;0.00;2699.70
Teclado Mecânico;Periféricos;349;120.00;249.90;2;21.25;478.55
Teclado Mecânico;Periféricos;350;120.00;249.90;1;0.00;249.90
